Location code,NGR,Sampled date,SX,SY,EX,EY,Altitude,d_f_source,logaltbar,log_area,disch_cat,slope,chalk,clay,hardrock,limestone,peat,shape_Length
460473,NK 08887 36380,2021-04-22,408850,836400,408900,836400,2,16799.93359,1.87320065,1.74503577,2,7.20424128,0,0,0.95008546,0,0.132386,50
207255,NJ 90438 06014,2021-06-01,390400,806050,390450,806000,81,4556.674805,2.12358332,0.87419176,1,7.58599949,0,0,1,0,0,70.71067812
207120,NJ 53085 46834,2021-05-11,353050,846800,353100,846850,80,34088.1875,2.28793693,2.43988895,5,1.71572876,0,0,0.9459874,0.04358958,0.06914773,70.71067812
207162,NJ 97537 26901,2021-04-22,397500,826900,397550,826900,9,13038.65625,1.8611412,1.42073941,1,6.22629499,0,0,1,0,0,50
338805,NK 03973 47735,2021-05-13,403950,847750,404000,847750,22,27894.67578,1.97619128,2.13515639,4,0.94150251,0,0,1,0,0.01789279,50
207146,NJ 76151 37584,2021-04-22,376100,837550,376150,837600,43,14501.40527,2.1801796,1.69977272,2,12.60598087,0,0,1,0,0.01641962,70.71067812
204343,NO 82625 73389,2021-05-13,382600,773400,382650,773350,6,32316.00586,2.17324924,2.09501243,4,6.9770174,0,0,0.37143949,0,0.04808967,70.71067812
207374,NJ 90148 09753,,390100,809700,390150,809750,28,5643.069336,2.09359622,1.0059309,1,24.82923698,0,0,1,0,0,70.71067812
207274,NJ 93801 09126,2021-06-02,393800,809100,393800,809150,2,137822.9375,2.4071424,3.11967969,7,5.6854248,0,0,0.98491782,0.00146134,0.03139981,50
207241,NJ 88554 14600,,388550,814600,388550,814550,35,14063.53418,2.02477312,1.60080957,2,17.21710968,0,0,1,0,0.05139777,50
207170,NJ 92279 30586,2021-04-22,392250,830600,392300,830600,12,14327.13672,1.92923975,1.39954388,1,8.5786438,0,0,1,0,0,50
205682,NJ 49767 50639,2021-05-11,349750,850650,349800,850650,92,27456.19727,2.3163178,2.24375081,4,0.94150251,0,0,0.92754757,0.0560793,0.09310418,50
207195,NJ 85606 00455,2021-05-26,385600,800450,385650,800400,12,135784.7969,2.6210885,3.30255866,9,1.81232738,0,0,0.99101043,0.00898955,0.10802906,70.71067812
207432,NO 69630 95265,2021-05-26,369600,795250,369650,795250,48,114739.0156,2.69190931,3.16708899,8,3.69398069,0,0,0.98771971,0.01228026,0.09410898,50
207076,NO 26224 94920,2021-06-01,326200,794950,326250,794900,258,51548.38281,2.80872393,2.80208063,7,10.24235916,0,0,0.97729844,0.02270155,0.12242355,70.71067812
207194,NO 05966 89643,2021-05-26,305950,789650,306000,789650,367,23578.375,2.83940554,2.19391036,5,11.29803085,0,0,1,0,0.15545566,50
207130,NJ 2922 5086,2021-05-05,329200,850850,329250,850800,54,156973.9531,2.66393232,3.45347166,9,1.62890661,0,0,0.96664995,0.01173881,0.12594675,70.71067812
R. Spey upstream Carron Bridge,NJ 2237 4106,2021-05-28,322350,841000,322400,841050,98,138709.8906,2.68089485,3.41059303,9,2.48528147,0,0,0.97084296,0.0088183,0.13822369,70.71067812
582932,NJ 12017 35292,2021-05-28,312000,835250,312000,835300,150,119712.8516,2.68352485,3.27182364,9,2.5286665,0,0,0.99899864,0.00063773,0.14227863,50
232926,NJ 60941 50006,2021-05-11,360950,850000,360900,850000,61,10183.01855,2.1541729,1.45905304,1,16.00554276,0,0,1,0,0.07097559,50
207152,NJ 95321 54635,2021-05-13,395300,854650,395300,854600,46,17265.62305,2.07472587,1.76458704,3,1.77894151,0,0,0.82701403,0.00399794,0.23746884,50
207008,NJ 55636 64287,2021-05-11,355650,864250,355650,864300,49,4751.649902,2.06508613,0.8930679,1,19.56835556,0,0,0.700032,0.11032939,0,50
205439,NJ 55511 63876,2021-05-11,355500,863850,355550,863900,60,4289.518555,2.07512856,0.86643505,1,16.85777664,0,0,0.69670182,0.1016661,0,70.71067812
557758,NJ 87873 63381,2021-05-19,387850,863350,387850,863400,50,2494.239014,2.07754421,0.49380645,1,45.41584778,0,0,0.80112267,0,0.02405774,50
557759,NJ 87884 63252,2021-05-19,387850,863200,387900,863250,60,2302.817627,2.0903852,0.22336613,1,36.68203354,0,0,0.66068757,0,0.04484305,70.71067812
532670,NJ 3272 4142,2021-05-04,332700,841350,332750,841400,133,23456.19141,2.55959368,2.01216197,4,13.48622131,0,0,0.90290743,0.09709257,0,70.71067812
532669,NJ 3272 4135,2021-05-04,332700,841350,332750,841400,133,23456.19141,2.55959368,2.01216197,4,13.48622131,0,0,0.90290743,0.09709257,0,70.71067812
206992,NJ 62868 51958,2021-05-18,362900,852000,362850,851950,117,3158.147949,2.21691251,0.68685961,1,8.14453316,0,0,1,0,0,70.71067812
207259,NJ 62944 52077,2021-05-18,362950,852100,362950,852050,116,3037.437256,2.21878076,0.67874593,1,8.00943089,0,0,1,0,0,50
205605,NJ 48699 44533,2021-05-18,348700,844550,348750,844500,121,7863.777344,2.34199572,1.28431785,1,4.97056293,0,0,0.8928293,0.10717069,0,70.71067812
205604,NJ 48612 44497,2021-05-18,348600,844500,348650,844550,125,7743.066895,2.34259295,1.28279197,1,7.72077942,0,0,0.89245212,0.10754791,0,70.71067812
207354,NJ 54658 29237,2021-05-14,354650,829200,354650,829250,177,2316.726318,2.31597614,0.73259473,1,5.43698215,0,0,0.9879685,0,0,50
207355,NJ 54603 28895,2021-05-14,354550,828850,354600,828900,177,1925.305054,2.31754756,0.71974546,1,4.36690855,0,0,0.98760724,0,0,70.71067812
207013,NJ 50385 27573,2021-05-14,350350,827550,350400,827600,167,14792.82617,2.52713084,1.50548911,2,10.11466599,0,0,0.71061671,0,0.00647931,70.71067812
205641,NJ 50224 27072,2021-05-14,350250,827050,350200,827100,170,14180.69336,2.53081703,1.49679136,2,4.44735384,0,0,0.72499204,0,0.00661039,70.71067812
205645,NJ 52192 32483,,352150,832500,352200,832550,146,22468.32617,2.45333314,1.94549322,4,2.66841221,0,0,0.73961228,0,0.02888158,70.71067812
205644,NJ 52097 32276,,352100,832250,352100,832300,147,22197.61523,2.45410728,1.94149899,4,2.57359314,0,0,0.73849368,0,0.02914843,50
581896,NJ 93252 48068,2021-05-26,393250,848100,393250,848050,58,12285.71484,2.06662416,1.71619117,2,4.97056293,0,0,1,0,0.02984286,50
207161,NJ 92860 48278,2021-05-26,392850,848300,392900,848250,61,11802.87109,2.07411551,1.68259633,2,3.49352694,0,0,1,0,0.03224299,70.71067812
207361,NJ 71895 35493,2021-04-27,371850,835500,371900,835450,107,8007.280762,2.24075985,1.30368197,1,11.15223694,0,0,1,0,0,70.71067812
207362,NJ 72060 35396,2021-04-27,372050,835400,372050,835350,105,8248.702148,2.23762631,1.31941843,1,8.7338171,0,0,1,0,0,50
557755,NJ 87546 31668,2021-04-27,387550,831650,387550,831700,58,7902.253906,2.02262735,1.14496315,1,6.59051752,0,0,1,0,0,50
557756,NJ 87525 31532,2021-04-27,387500,831500,387550,831550,59,7731.543457,2.03244662,1.11427724,1,7.38796139,0,0,1,0,0,70.71067812
557761,,2021-06-16,,,,,,,,,,,,,,,,
532979,,2021-06-16,,,,,,,,,,,,,,,,
207010,NJ 22276 39414,2021-04-22,322250,839400,322300,839450,189,3461.701172,2.45420861,0.71558553,1,21.4466095,0,0,1,0,0,70.71067812
207021,NJ 29327 45174,2021-04-22,329300,845150,329300,845200,78,31074.58203,2.51965094,2.12069726,4,15.4047823,0,0,0.91932213,0.08067784,0,50
207129,NJ 03934 26378,2021-04-22,303900,826350,303950,826350,189,102417.4922,2.69420791,3.24251723,9,0.1,0,0,0.99892873,0.00068225,0.1470205,50
207029,NH 90721 13010,2021-04-22,290700,813000,290750,813000,205,77480.94531,2.7272017,3.07816672,8,0.1,0,0,1,0,0.14538924,50
122609,NS 48628 63773,2021-05-11,248650,663750,248600,663800,3,38249.46875,2.15948677,2.38000298,6,1.77894151,0,0,0.62572694,0,0.03333889,70.71067812
